price,price_category,type,beds,baths,address,furnishing,completion_status,post_date,average_rent,building_name,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,area_name,city,country,Latitude,Longitude,purpose,yield_pct
850000,Average,Apartment,2,3,"Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis (DSO), Dubai",Unfurnished,Ready,2023-09-27,60401,SILICON GATES 1,2013,0,27,712,0,Dubai Silicon Oasis (DSO),Dubai,UAE,25.123803,55.384144,For Sale,7.106
4800000,High,Apartment,3,3,"Downtown Views II Tower 3, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Unfurnished,Ready,2024-04-04,265493,Downtown Views II T3,2022,1959,50,1,8,Za'abeel,Dubai,UAE,25.21683265,55.30011608643647,For Sale,5.531104166666666
6000000,High,Villa,5,6,"Brookfield, DAMAC Hills, Dubai",Furnished,Ready,2024-03-14,460281,Unknown,0,0,0,0,0,DAMAC Hills,Dubai,UAE,25.0264384,55.251228,For Sale,7.67135
3999000,High,Apartment,2,3,"Dubai Creek Residence Tower 1 South, Dubai Creek Residences, Dubai Creek Harbour, Dubai",Unfurnished,Ready,2023-10-27,217295,THE DUBAI CREEK RESIDENCES - SOUTH TOWER 1,2018,0,37,262,3,Dubai Creek Harbour,Dubai,UAE,25.197978,55.36037960558315,For Sale,5.43373343335834
2400000,Medium,Villa,3,4,"Reem Townhouses, Town Square, Dubai",Unfurnished,Ready,2023-12-15,146332,Unknown,0,0,0,0,0,Town Square,Dubai,UAE,25.01085145,55.28887629766314,For Sale,6.097166666666666
2400000,Medium,Apartment,2,3,"The Atria Residences, The Atria, Business Bay, Dubai",Furnished,Ready,2024-03-01,157997,ATRIA RA,2018,405,29,325,4,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,6.583208333333333
2899999,Medium,Apartment,2,2,"Palace Residences, Dubai Creek Harbour, Dubai",Unfurnished,Ready,2024-03-14,190580,Palace Residences,2022,754,42,1,7,Dubai Creek Harbour,Dubai,UAE,25.197978,55.36037960558315,For Sale,6.571726404043588
3300000,High,Apartment,3,4,"Murjan 3, Murjan, Jumeirah Beach Residence (JBR), Dubai",Unfurnished,Ready,2023-05-31,291330,Murjan 3,2007,0,33,238,0,Jumeirah Beach Residence (JBR),Dubai,UAE,25.0778021,55.13518094856796,For Sale,8.828181818181818
850000,Average,Apartment,2,2,"Al Thamam 41, Al Thamam, Remraam, Dubai",Unfurnished,Ready,2024-01-22,69796,AL THAMAM 41,2011,0,8,65,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,8.211294117647059
1280000,Average,Apartment,0,1,"Seven Palm, Palm Jumeirah, Dubai",Furnished,Ready,2024-03-05,100723,SEVEN HOTEL & APARTMENTS THE PALM - A,2022,1036,20,735,14,Palm Jumeirah,Dubai,UAE,25.10019025,55.11853499506269,For Sale,7.868984375
400000,Average,Apartment,0,1,"MAG 520, MAG 5 Boulevard, Dubai South, Dubai",Unfurnished,Ready,2024-01-17,35620,MAG 520,2019,133,6,65,2,Dubai South,Dubai,UAE,24.9144391,55.1615128,For Sale,8.905000000000001
2250000,Medium,Apartment,1,2,"Anwa, Dubai Maritime City, Dubai",Furnished,Ready,2024-02-09,104582,THE ANWA BY OMNIYAT,2021,357,49,628,6,Dubai Maritime City,Dubai,UAE,25.262151,55.26537042587559,For Sale,4.648088888888889
700000,Average,Apartment,1,2,"Hub Canal 1, Dubai Sports City, Dubai",Unfurnished,Ready,2023-10-04,69245,Hub Canal 1,2010,0,15,187,0,Dubai Sports City,Dubai,UAE,25.0321379,55.219353,For Sale,9.892142857142858
390000,Average,Apartment,0,1,"Madison Residences, Majan, Dubai",Furnished,Ready,2023-08-02,36897,MADISON ASTOR,2013,0,4,76,0,Majan,Dubai,UAE,25.0929388,55.3184835,For Sale,9.46076923076923
24000000,High,Villa,6,7,"Polo Homes, Arabian Ranches, Dubai",Unfurnished,Ready,2024-03-20,1206600,Unknown,0,0,0,0,0,Arabian Ranches,Dubai,UAE,25.04875135,55.26728851815184,For Sale,5.0275
875000,Average,Apartment,2,2,"Al Thamam 24, Al Thamam, Remraam, Dubai",Unfurnished,Ready,2024-02-01,69550,AL THAMAM 24,2011,0,7,60,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,7.948571428571428
3300000,High,Apartment,3,4,"Building 1, Hartland Greens, Sobha Hartland, Dubai",Unfurnished,Ready,2023-11-08,267033,SOBHA HARTLAND GREENS- PHASE II (BUILDING 01),2020,437,1,266,6,Sobha Hartland,Dubai,UAE,25.177246,55.30791298414965,For Sale,8.091909090909091
1000000,Average,Apartment,1,2,"Binghatti Avenue, Al Jaddaf, Dubai",Furnished,Ready,2023-11-02,82187,Binghatti Avenue,2022,749,34,1,10,Al Jaddaf,Dubai,UAE,25.2142937,55.324569,For Sale,8.2187
1050000,Average,Apartment,1,2,"Binghatti Avenue, Al Jaddaf, Dubai",Unfurnished,Ready,2023-11-02,83135,Binghatti Avenue,2022,749,34,1,10,Al Jaddaf,Dubai,UAE,25.2142937,55.324569,For Sale,7.917619047619047
1300000,Average,Apartment,2,2,"Manchester Tower, Dubai Marina, Dubai",Unfurnished,Ready,2024-04-20,117061,MANCHESTER,2008,0,33,0,0,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,9.004692307692308
1849000,Medium,Apartment,1,1,"Claren Tower 1, Claren Towers, Downtown Dubai, Dubai",Furnished,Ready,2024-03-29,148842,CLAREN TOWER 1,2012,0,19,129,0,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,8.04986479177934
750000,Average,Apartment,1,2,"Al Thamam 47, Al Thamam, Remraam, Dubai",Unfurnished,Ready,2024-03-28,91423,Unknown,0,0,0,0,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,12.189733333333333
3070000,High,Apartment,1,1,"Marina Vista Tower 1, Marina Vista, Emaar Beachfront, Dubai Harbour, Dubai",Furnished,Ready,2024-03-21,182466,Marina Vista Tower 1,2023,732,36,566,6,Dubai Harbour,Dubai,UAE,25.0956188,55.13800090659106,For Sale,5.943517915309447
3300000,High,Townhouse,3,4,"Jade at the Fields, The Fields, District 11, Mohammed Bin Rashid City, Dubai",Unfurnished,Ready,2024-03-07,161341,Unknown,0,0,0,0,0,Mohammed Bin Rashid City,Dubai,UAE,25.1640592,55.28566124091724,For Sale,4.889121212121212
2443888,Medium,Apartment,1,2,"Boulevard Crescent Podium, Boulevard Crescent Towers, Downtown Dubai, Dubai",Unfurnished,Ready,2024-04-15,164060,BLVD CRESCENT Podium,2018,504,3,67,7,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,6.713073594207263
3000000,High,Apartment,2,2,"Downtown Views II Tower 2, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Unfurnished,Ready,2024-02-06,170733,Downtown Views II T2,2022,1959,58,1,9,Za'abeel,Dubai,UAE,25.21683265,55.30011608643647,For Sale,5.6911000000000005
3200000,High,Apartment,2,2,"Downtown Views II Tower 2, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Unfurnished,Ready,2024-01-17,170733,Downtown Views II T2,2022,1959,58,1,9,Za'abeel,Dubai,UAE,25.21683265,55.30011608643647,For Sale,5.33540625
1490000,Medium,Apartment,2,3,"Equiti Residence, Al Furjan, Dubai",Unfurnished,Ready,2023-12-25,123125,EQUITI RESIDENCE,2023,145,13,230,3,Al Furjan,Dubai,UAE,25.0267099,55.1469903,For Sale,8.263422818791947
3605888,High,Apartment,2,3,"BLVD Heights Podium, BLVD Heights, Downtown Dubai, Dubai",Unfurnished,Ready,2023-07-20,244074,Blvd Heights Podium,2020,79,8,176,14,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,6.7687626459834584
22000000,High,Villa,5,6,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",Unfurnished,Ready,2023-12-19,1444945,Unknown,0,0,0,0,0,Mohammed Bin Rashid City,Dubai,UAE,25.1640592,55.28566124091724,For Sale,6.567931818181819
3100000,High,Apartment,2,3,"Acacia B, Acacia, Park Heights, Dubai Hills Estate, Dubai",Unfurnished,Ready,2024-04-18,214044,ACACIA AT PARK HEIGHTS BUILDING B,2019,326,10,379,6,Dubai Hills Estate,Dubai,UAE,25.09872095,55.25394008697513,For Sale,6.904645161290322
1200000,Average,Apartment,2,3,"Al Thamam 47, Al Thamam, Remraam, Dubai",Unfurnished,Ready,2023-11-16,103839,Unknown,0,0,0,0,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,8.65325
1799999,Medium,Apartment,1,1,"Creek Edge Tower 2, Creek Edge, Dubai Creek Harbour, Dubai",Unfurnished,Ready,2024-04-17,111259,CREEK EDGE Tower 2,2023,197,20,350,5,Dubai Creek Harbour,Dubai,UAE,25.197978,55.36037960558315,For Sale,6.181058989477217
865000,Average,Apartment,1,2,"Casa Grande, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Unfurnished,Ready,2024-02-07,72905,Casa Grande,2023,105,6,151,2,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,8.428323699421965
990000,Average,Apartment,1,2,"Armada Tower 3, Armada Towers, JLT Cluster P, Jumeirah Lake Towers (JLT), Dubai",Furnished,Ready,2024-02-13,88877,ARMADA  3,2009,0,38,368,0,Jumeirah Lake Towers (JLT),Dubai,UAE,25.0690625,55.141165591907736,For Sale,8.977474747474748
